0.1	0.052222222	0.047	0.002525924
0.5	0.052222222	0.047	0.000577122
1	0.052222222	0.047	0.000363424
0.1	0.111111111	0.047	0.006691307
0.5	0.111111111	0.047	0.004553176
1	0.111111111	0.047	0.001005646
0.1	0.222222222	0.047	0.018194629
0.5	0.222222222	0.047	0.003137112
1	0.222222222	0.047	0.002488097
0.1	0.052222222	0.47	0.014879712
0.5	0.052222222	0.47	0.005409604
1	0.052222222	0.47	0.003328664
0.1	0.111111111	0.47	0.054802952
0.5	0.111111111	0.47	0.014481295
1	0.111111111	0.47	0.010345945
0.1	0.222222222	0.47	0.141428965
0.5	0.222222222	0.47	0.080047865
1	0.222222222	0.47	0.03252281
0.1	0.052222222	1	0.031873731
0.5	0.052222222	1	0.010540305
1	0.052222222	1	0.007969985
0.1	0.111111111	1	0.108682817
0.5	0.111111111	1	0.078973418
1	0.111111111	1	0.034877473
0.1	0.222222222	1	0.355528727
0.5	0.222222222	1	0.159176762
1	0.222222222	1	0.068738373
0.25	0.222222222	1	0.271576222
0.05	0.222222222	1	0.398585839
0.1	0.222222222	1	0.37583473
0.1	0.333333333	1	0.620025492
0.1	0.444444444	1	0.796075539
0.1	0.555555556	1	0.817091348
0.1	0.666666667	1	0.869394115
0.1	0.777777778	1	0.971071065
0.1	0.888888889	1	1
0.1	1	1	0.998298148
