0.1	0.052222222	0.047
0.5	0.052222222	0.047
1	0.052222222	0.047
0.1	0.111111111	0.047
0.5	0.111111111	0.047
1	0.111111111	0.047
0.1	0.222222222	0.047
0.5	0.222222222	0.047
1	0.222222222	0.047
0.1	0.052222222	0.47
0.5	0.052222222	0.47
1	0.052222222	0.47
0.1	0.111111111	0.47
0.5	0.111111111	0.47
1	0.111111111	0.47
0.1	0.222222222	0.47
0.5	0.222222222	0.47
1	0.222222222	0.47
0.1	0.052222222	1
0.5	0.052222222	1
1	0.052222222	1
0.1	0.111111111	1
0.5	0.111111111	1
1	0.111111111	1
0.1	0.222222222	1
0.5	0.222222222	1
1	0.222222222	1
0.25	0.222222222	1
0.05	0.222222222	1
0.1	0.222222222	1
0.1	0.333333333	1
0.1	0.444444444	1
0.1	0.555555556	1
0.1	0.666666667	1
0.1	0.777777778	1
0.1	0.888888889	1
0.1	1	1
0.5	0.111111111	0.047
1	0.111111111	0.047
0.1	0.222222222	0.047
0.5	0.222222222	0.047
1	0.222222222	0.047
0.5	0.222222222	1
1	0.222222222	1
0.25	0.222222222	1
0.05	0.222222222	1
1	0.052222222	0.047
0.1	0.111111111	0.047
0.5	0.111111111	0.047
1	0.111111111	0.047
0.1	0.222222222	0.047
0.5	0.222222222	0.047
1	0.222222222	0.047
0.1	0.052222222	0.47
0.5	0.052222222	0.47
1	0.052222222	0.47
0.1	0.111111111	0.047
0.5	0.111111111	0.047
1	0.111111111	0.047
0.1	0.222222222	0.047
0.5	0.222222222	0.047
1	0.222222222	0.047
0.1	0.052222222	0.47
0.5	0.052222222	0.47
1	0.052222222	0.47
0.1	0.111111111	0.47
0.5	0.111111111	0.47
1	0.111111111	0.47
0.1	0.222222222	0.47
0.5	0.222222222	0.47
0.1	0.222222222	0.47
0.5	0.222222222	0.47
1	0.222222222	0.47
0.1	0.052222222	1
0.5	0.052222222	1
1	0.052222222	1
0.1	0.111111111	1
0.5	0.111111111	1
1	0.111111111	1
0.25	0.222222222	1
0.05	0.222222222	1
1	0.052222222	0.047
0.1	0.111111111	0.047
0.5	0.111111111	0.047
1	0.111111111	0.047
0.1	0.444444444	1
0.1	0.555555556	1
0.1	0.666666667	1
0.1	0.777777778	1
0.1	0.888888889	1
0.1	1	1
0.5	0.111111111	0.047
1	0.111111111	0.047
0.1	0.222222222	0.047
0.5	0.222222222	0.047
1	0.222222222	0.047
0.5	0.222222222	1
1	0.222222222	1
0.25	0.222222222	1
0.05	0.222222222	1
